Component,Description,Part,References,Value,Footprint,Quantity Per PCB,ORDER,MP,,Datasheet,MF,Package,Price,Availability,Digi-Key_Purchase_URL,Digi-Key_Part_Number,Field8,Field4,Field7,Field6,Field5
71,"Resistor, small symbol",R_Small,R30,1M,R_0603_HandSoldering,1,0,---,ok,,,,,,,,,,,,
72,"Resistor, small symbol",R_Small,R31,2.2k,R_0603_HandSoldering,1,10,ERA-3ARB222V,ok,,,,,,,,,,,,
73,"Resistor, small symbol",R_Small,R5,20m,R_1206_HandSoldering,1,10,PF1206FRF070R02L,ok,,,,,,,,,,,,
74,"Resistor, small symbol",R_Small,R11 R17 R29,240,R_0603_HandSoldering,3,25,ERJ-3EKF2400V,ok,,,,,,,,,,,,
75,"Resistor, small symbol",R_Small,R18 R19 R20 R21 R23 R24 R26 R27,27,R_0603_HandSoldering,8,50,ERJ-3EKF27R0V,ok,,,,,,,,,,,,
76,"Resistor, small symbol",R_Small,R37,27k,R_0603_HandSoldering,1,10,CR0603-FX-2702ELF,ok,,,,,,,,,,,,
77,"Resistor, small symbol",R_Small,R8,3.6k,R_0603_HandSoldering,1,0,---,ok,,,,,,,,,,,,
78,"Resistor, small symbol",R_Small,R7 R9,330,R_0603_HandSoldering,2,25,ERJ-3EKF3300V,ok,,,,,,,,,,,,
79,"Resistor, small symbol",R_Small,R10 R33 R34 R35,4.7k,R_0603_HandSoldering,4,0,---,ok,,,,,,,,,,,,
80,"Resistor, small symbol",R_Small,R38 R39,4.99k,R_0603_HandSoldering,2,15,CRT0603-BY-4991ELF,ok,,,,,,,,,,,,
81,"Resistor, small symbol",R_Small,R36,47k,R_0603_HandSoldering,1,10,ERJ-3EKF4702V,ok,,,,,,,,,,,,
82,"Resistor, small symbol",R_Small,R22,9.53k,R_0603_HandSoldering,1,10,ERA-3AED9531V,ok,,,,,,,,,,,,
83,"Resistor, small symbol",R_Small,R28,90.9k,R_0603_HandSoldering,1,10,ERA-3AED9092V,ok,,,,,,,,,,,,
84,Voltage stabiliser; PMIC; 5A; TO263-5; SMD; buck; -20÷85°C; 800pcs.,AP1501A-33K5G-13,U4,AP1501A-33K5G-13,DPAK171P1524X485-6N,1,7,AP1501A-33K5G-13,ok,,Diodes Inc.,TO-263-5 Diodes Inc.,,,,,,,,,
85,"SO14, 4k Flash, 256B SRAM, 256B EEPROM, ADC, ACI, dW",ATTINY841-SSU,U16,ATTINY841-SSU,SOIC-14_3.9x8.7mm_Pitch1.27mm,1,10,ATTINY841-SSU,ok,,,,,,,,,,,,
86,,BQ24650RVAT,U2,BQ24650RVAT,QFN50P350X350X100-17N,1,11,BQ24650RVAT,ok,,,,,,,,,,,,
87,CM2020-00TR Series 10.8 V HDMI Transmitter Port Protection and Interface Device,CM2020-00TR,U14,CM2020-00TR,TSSOP50P640X120-38N,1,10,CM2020-00TR,ok,,ON Semiconductor,TSSOP-38 ON Semiconductor,,,,,,,,,
88,,INA260AIPW,U6,INA260AIPW,SOP65P640X120-16N,1,5,INA260AIPW,ok,INA260AIPW,,,,,,,,,,,
89,,LP3962EMP-2.5,U11,LP3962EMP-2.5,SOT150P696X180-5N,1,8,LP3962EMP-2.5,ok,SOT-223-5 Texas Instruments,,,,,,,,,,,
90,"Audio Codec , Ultra Low-Power, 4 mw for DAC-to-HP, 98 dB SNR and -80 dB THD+N, QFN 32, Tray",SGTL5000XNAA3,U10,SGTL5000XNAA3,QFN50P500X500X100-33N,1,10,SGTL5000XNAA3,ok,NXP Semiconductors,,QFN-32 NXP Semiconductors,,,,,,,,,
